social_class,race,age,sex,college_degree,income_category,religion,religious_service_freq,party_id_3cat,party_id_7cat,ft_hillary_clinton,ft_donald_trump,ft_libertarian_pres_cand,ft_green_pres_cand,ft_john_roberts,ft_pope_francis,ft_christian_fundamentalists,ft_feminists,ft_liberals,ft_labor_unions,ft_poor_people,ft_big_business,ft_conservatives,ft_us_supreme_court,ft_gay_men_and_lesbians,ft_congress,ft_rich_people,ft_muslims,ft_christians,ft_jews,ft_tea_party,ft_police,ft_transgender_people,ft_scientists,ft_black_lives_matter
NA,White,86,Female,No College Degree,Less than $50k,Mainline Protestant,NA,Independent,"Independent, leans Democrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Working Class,Hispanic,30,Male,College Degree,Between $100k and $250k,Undifferentiated Christian,NA,Other,"Independent, leans Republican",40,40,50,50,85,85,40,50,70,70,100,50,70,60,50,40,85,70,70,70,40,50,85,85,70
Middle Class,White,67,Male,No College Degree,Less than $50k,Undifferentiated Christian,A Few Times a Year,Democrat,Weak Democrat,0,100,50,50,85,100,70,15,0,40,85,40,85,30,50,0,50,60,100,85,30,100,50,85,0
Working Class,White,62,Female,College Degree,Less than $50k,Mainline Protestant,Every Week,Democrat,Strong Democrat,70,15,NA,NA,40,85,15,85,85,85,85,50,40,40,85,30,60,70,85,70,15,70,60,70,85
Lower Class,White,51,Male,No College Degree,Less than $50k,Mainline Protestant,NA,Democrat,Strong Democrat,0,70,NA,NA,NA,NA,50,15,50,50,60,50,50,50,60,50,60,50,85,70,50,60,15,70,50
Upper Class,Hispanic,46,Male,College Degree,Between $100k and $250k,Roman Catholic,NA,Democrat,Strong Democrat,85,15,40,70,60,85,15,70,85,70,70,60,30,70,85,40,60,60,60,85,15,70,70,100,85
Middle Class,White,70,Male,College Degree,Between $50k and $100k,Not Religious,NA,Republican,Strong Republican,40,100,85,70,70,85,85,100,85,85,100,70,100,100,100,60,100,100,100,100,70,85,100,100,70
Middle Class,White,30,Female,College Degree,Between $100k and $250k,Roman Catholic,A Few Times a Year,Democrat,Strong Democrat,85,0,50,70,40,85,15,100,85,50,100,40,30,70,100,30,50,100,50,100,0,85,100,100,100
Middle Class,White,67,Female,No College Degree,Between $50k and $100k,Roman Catholic,Almost Every Week,Republican,Weak Republican,30,40,NA,NA,70,85,50,50,40,60,100,40,50,70,50,60,60,50,85,100,60,85,50,85,70
Middle Class,White,66,Female,No College Degree,Between $50k and $100k,Roman Catholic,Almost Every Week,Republican,Weak Republican,0,70,NA,NA,50,85,60,50,60,85,100,50,85,85,50,60,60,40,85,50,85,70,50,50,40
NA,White,32,Female,No College Degree,Less than $50k,Not Religious,NA,Republican,Weak Republican,5,95,70,30,70,NA,10,40,70,75,50,40,60,90,100,60,90,40,50,90,40,100,90,90,10
Middle Class,White,56,Female,No College Degree,NA,Mainline Protestant,A Few Times a Year,No Preference,"Independent, leans Republican",60,0,50,NA,NA,50,NA,50,60,50,85,15,40,50,70,40,15,50,100,70,50,100,70,85,85
Middle Class,White,65,Female,College Degree,Between $50k and $100k,Mainline Protestant,Every Week,No Preference,"Independent, leans Republican",15,60,40,50,50,60,70,40,40,40,60,60,70,60,40,40,70,60,85,85,40,85,30,60,40
Working Class,Other,61,Male,No College Degree,Less than $50k,Not Religious,NA,Independent,"Independent, leans Republican",0,60,50,NA,50,50,100,50,15,50,100,85,100,60,50,60,85,50,100,100,70,85,0,85,15
NA,Indigenous Americans,34,Male,No College Degree,Less than $50k,Undifferentiated Christian,Never,Independent,"Independent, leans Republican",0,85,50,NA,NA,NA,NA,50,50,70,100,60,NA,50,50,50,60,0,60,50,85,100,50,70,50
Middle Class,White,68,NA,College Degree,NA,Roman Catholic,Almost Every Week,Independent,"Independent, leans neither",30,60,NA,NA,50,70,60,60,70,50,70,60,40,50,85,40,70,85,85,85,NA,85,70,50,70
NA,White,25,Female,No College Degree,Between $50k and $100k,Evangelical Protestant,Almost Every Week,Independent,"Independent, leans neither",15,70,50,50,NA,50,85,50,50,50,100,60,50,40,100,60,100,50,85,100,50,100,100,100,50
Middle Class,White,73,Male,College Degree,Between $50k and $100k,Roman Catholic,NA,Independent,"Independent, leans Democrat",85,0,40,50,30,60,30,100,100,85,100,70,0,60,100,15,50,85,60,100,0,85,85,100,85
Working Class,White,67,Female,No College Degree,Between $50k and $100k,Undifferentiated Christian,Every Week,Independent,"Independent, leans neither",30,60,60,50,50,60,85,60,40,60,60,40,70,60,40,60,50,60,100,70,50,100,15,70,50
NA,White,35,Female,College Degree,Between $50k and $100k,Undifferentiated Christian,A Few Times a Year,Democrat,Weak Democrat,40,60,NA,NA,50,85,15,70,60,70,100,40,40,85,100,70,85,100,85,100,50,85,100,70,85
Middle Class,White,64,Male,College Degree,Between $100k and $250k,Undifferentiated Christian,Every Week,Republican,Strong Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,White,73,Female,No College Degree,NA,Undifferentiated Christian,Every Week,Republican,Strong Republican,0,100,50,50,50,50,85,60,60,50,85,85,85,70,70,70,85,70,70,85,70,100,50,50,50
Middle Class,White,69,Male,College Degree,Between $50k and $100k,Roman Catholic,Almost Every Week,Independent,"Independent, leans Republican",0,100,15,15,60,85,100,0,15,15,60,60,100,60,0,85,50,60,100,70,100,100,0,60,0
Working Class,White,41,Female,College Degree,Less than $50k,Evangelical Protestant,Every Week,Republican,Weak Republican,60,15,NA,NA,NA,NA,85,40,50,40,100,50,60,50,50,50,50,100,100,50,50,40,50,50,50
Lower Class,White,67,Male,College Degree,Less than $50k,Evangelical Protestant,A Few Times a Year,Democrat,Weak Democrat,60,15,40,50,70,85,15,50,50,50,50,40,50,60,50,15,60,60,50,60,0,70,50,70,40
NA,White,59,Female,No College Degree,Less than $50k,Not Religious,NA,Independent,"Independent, leans Democrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Working Class,White,54,Male,No College Degree,Between $50k and $100k,Undifferentiated Christian,Every Week,Republican,Strong Republican,0,100,NA,30,40,40,60,40,50,30,40,50,40,40,0,40,60,0,60,60,50,30,0,30,0
Middle Class,Hispanic,48,Male,No College Degree,Less than $50k,Not Religious,NA,Independent,"Independent, leans Democrat",70,85,50,50,50,50,70,70,70,85,100,85,60,85,100,70,100,60,60,70,85,70,85,100,70
Working Class,Black,26,Female,No College Degree,Between $50k and $100k,Undifferentiated Christian,A Few Times a Year,Democrat,Weak Democrat,60,30,60,NA,30,70,70,100,85,100,70,40,40,50,100,40,50,100,100,100,60,30,100,60,100
Middle Class,White,NA,NA,No College Degree,NA,Evangelical Protestant,Almost Every Week,Independent,"Independent, leans Republican",0,85,30,15,60,70,50,30,15,70,50,70,85,70,30,60,50,15,100,50,50,100,0,NA,0
NA,White,25,Female,No College Degree,Less than $50k,Mainline Protestant,Almost Every Week,Republican,Strong Republican,15,60,50,50,60,70,50,40,30,60,50,40,60,60,50,60,50,50,85,50,60,85,50,60,40
Middle Class,Black,46,Female,College Degree,Between $50k and $100k,Evangelical Protestant,Almost Every Week,Democrat,Strong Democrat,100,0,0,0,0,100,100,85,100,50,100,60,85,50,100,30,70,100,85,100,40,85,100,100,100
Working Class,White,59,Male,No College Degree,Less than $50k,Roman Catholic,Every Week,Republican,Strong Republican,0,100,0,50,85,100,100,50,0,85,85,100,100,50,50,100,85,0,100,100,0,100,50,100,0
Lower Class,White,39,Female,No College Degree,Less than $50k,Other Religion,Once or Twice a Month,Independent,"Independent, leans Republican",0,60,50,50,50,70,20,10,5,60,80,5,60,75,90,5,80,80,80,80,50,90,80,90,2
Middle Class,White,52,Female,College Degree,Between $100k and $250k,Evangelical Protestant,Almost Every Week,Democrat,Weak Democrat,85,0,50,50,50,85,15,85,70,60,70,70,40,70,70,70,70,70,70,70,0,60,70,70,70
NA,Hispanic,29,Female,College Degree,Less than $50k,Roman Catholic,Every Week,Independent,"Independent, leans neither",30,15,50,50,50,100,85,70,50,100,100,85,85,85,85,60,50,50,100,70,50,85,85,70,50
NA,White,46,Male,No College Degree,Between $50k and $100k,Evangelical Protestant,A Few Times a Year,Independent,"Independent, leans Republican",0,70,50,50,60,50,30,40,40,85,85,30,40,60,30,15,50,50,100,50,70,100,40,70,15
Middle Class,Other,45,Male,College Degree,Between $100k and $250k,Not Religious,NA,Democrat,Strong Democrat,40,30,NA,NA,NA,85,15,50,70,70,60,15,30,60,NA,40,30,NA,30,50,30,30,50,70,50
NA,Black,64,Male,No College Degree,Less than $50k,Evangelical Protestant,A Few Times a Year,Democrat,Weak Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,White,43,Female,No College Degree,Less than $50k,Evangelical Protestant,A Few Times a Year,Independent,"Independent, leans Democrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Class,White,61,Female,College Degree,Between $50k and $100k,Roman Catholic,Once or Twice a Month,Democrat,Strong Democrat,75,35,NA,40,60,100,60,50,75,75,50,60,50,60,50,40,50,40,60,50,60,85,50,80,30
NA,White,30,Male,No College Degree,Less than $50k,Undifferentiated Christian,NA,Republican,Weak Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,White,55,Male,No College Degree,Between $100k and $250k,Roman Catholic,Almost Every Week,Republican,Weak Republican,0,85,70,15,85,85,60,70,40,60,85,60,70,70,70,50,40,70,85,70,70,100,70,85,15
Working Class,White,35,Female,College Degree,Between $100k and $250k,Not Religious,NA,Democrat,Strong Democrat,85,0,50,50,50,85,15,85,70,50,85,50,30,60,50,15,50,50,50,50,15,50,50,85,50
NA,White,24,Female,No College Degree,Less than $50k,Mainline Protestant,NA,Independent,"Independent, leans Democrat",60,40,50,50,NA,60,NA,60,70,50,85,50,70,0,100,50,85,70,70,70,50,85,100,70,40
Middle Class,Hispanic,85,Female,No College Degree,Less than $50k,Roman Catholic,Once or Twice a Month,Other,"Independent, leans Republican",85,60,30,70,100,15,85,100,60,0,0,70,15,60,40,100,100,50,85,30,85,40,50,15,50
Working Class,Hispanic,61,Male,College Degree,Less than $50k,Roman Catholic,A Few Times a Year,Democrat,Strong Democrat,85,0,50,50,50,100,NA,50,50,30,85,40,50,50,50,30,40,NA,40,NA,40,40,NA,70,NA
Working Class,White,52,Female,College Degree,Between $50k and $100k,Mainline Protestant,Every Week,Democrat,Strong Democrat,70,15,40,50,50,70,70,85,70,70,85,40,60,50,50,50,50,70,70,50,30,85,70,70,70
NA,White,56,Male,No College Degree,Less than $50k,Not Religious,NA,Independent,"Independent, leans Republican",40,60,NA,NA,NA,60,50,50,50,30,60,50,60,20,50,20,50,20,50,50,NA,70,50,60,50
Middle Class,Black,68,Male,No College Degree,NA,Evangelical Protestant,Almost Every Week,Democrat,Strong Democrat,70,40,50,50,85,85,85,NA,85,85,100,70,70,70,85,50,70,85,100,85,40,85,85,85,85
NA,Black,76,Female,No College Degree,Less than $50k,Evangelical Protestant,Almost Every Week,Democrat,Strong Democrat,100,50,50,50,50,50,50,50,50,85,85,85,50,70,50,85,70,50,100,70,50,85,50,70,75
NA,White,31,Male,College Degree,Between $50k and $100k,Roman Catholic,NA,Independent,"Independent, leans Republican",50,60,50,NA,50,50,50,50,50,50,60,50,50,50,50,50,50,50,50,50,50,100,50,60,50
Working Class,White,19,Female,College Degree,Between $100k and $250k,Other Religion,Every Week,Republican,Weak Republican,15,30,50,NA,NA,100,50,60,50,50,60,50,70,50,50,40,50,100,100,100,50,100,30,85,60
NA,White,47,Female,No College Degree,Less than $50k,Evangelical Protestant,Almost Every Week,Democrat,Strong Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Working Class,White,68,Female,No College Degree,Less than $50k,Other Religion,NA,Independent,"Independent, leans Democrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Class,White,57,Male,College Degree,Between $100k and $250k,Mainline Protestant,Once or Twice a Month,Democrat,Strong Democrat,85,15,40,40,30,70,15,85,85,70,85,50,40,70,100,40,40,85,70,85,40,85,100,85,85
Working Class,White,27,Female,No College Degree,Less than $50k,Mainline Protestant,NA,Independent,"Independent, leans Republican",15,50,NA,NA,NA,85,70,50,50,70,60,70,50,50,50,40,50,50,85,50,30,100,50,85,60
NA,White,32,Female,No College Degree,Less than $50k,Not Religious,NA,Independent,"Independent, leans Republican",40,60,NA,NA,NA,50,60,85,50,40,85,30,85,70,70,60,50,50,60,40,50,100,40,100,30
Lower Class,White,45,Male,No College Degree,Less than $50k,Other Religion,NA,Democrat,Strong Democrat,70,10,40,40,50,85,30,85,80,70,100,40,60,85,80,40,50,80,60,100,30,60,85,100,85
Working Class,Hispanic,50,Female,No College Degree,Less than $50k,Undifferentiated Christian,A Few Times a Year,Democrat,Weak Democrat,85,0,50,50,50,50,50,50,50,50,50,50,50,50,50,15,50,40,50,50,50,40,50,50,50
Middle Class,Black,68,Female,College Degree,Between $50k and $100k,Evangelical Protestant,Every Week,Democrat,Strong Democrat,70,30,50,50,50,85,50,60,70,50,85,15,60,85,0,60,50,50,70,50,0,85,0,100,60
Working Class,Other,60,Male,No College Degree,Between $50k and $100k,Mainline Protestant,Almost Every Week,Democrat,Strong Democrat,85,0,NA,50,70,85,30,70,40,70,85,60,30,70,50,15,70,50,70,70,0,85,NA,85,30
Working Class,Hispanic,36,Female,College Degree,Less than $50k,Not Religious,NA,Independent,"Independent, leans Democrat",70,0,50,60,60,85,30,100,100,70,100,30,30,40,100,50,50,100,50,100,60,85,100,100,100
Lower Class,Hispanic,27,Female,No College Degree,Less than $50k,Roman Catholic,NA,Democrat,Weak Democrat,85,0,NA,NA,50,50,50,85,85,85,85,70,85,70,85,60,85,85,85,85,50,85,85,85,85
NA,Asian/Pacific Islander,-8,Male,No College Degree,Less than $50k,Roman Catholic,Every Week,Republican,Weak Republican,85,30,NA,70,50,100,85,70,70,60,85,70,85,70,50,70,70,50,100,30,60,85,50,50,50
Working Class,White,46,Female,No College Degree,Between $100k and $250k,Evangelical Protestant,Once or Twice a Month,Independent,"Independent, leans Republican",15,85,60,50,50,60,70,30,30,50,50,15,85,40,70,70,50,50,100,50,50,100,70,50,85
NA,White,35,Male,No College Degree,Between $50k and $100k,Roman Catholic,NA,Independent,"Independent, leans Democrat",50,40,40,70,100,85,15,85,60,60,100,30,85,70,85,60,50,85,70,85,15,85,100,70,70
NA,White,44,Female,No College Degree,Less than $50k,Not Religious,NA,Independent,"Independent, leans Republican",30,60,50,NA,50,50,50,40,50,50,50,40,50,50,50,50,50,50,60,50,50,70,50,50,50
Middle Class,Black,78,Female,No College Degree,Less than $50k,Mainline Protestant,Almost Every Week,Democrat,Weak Democrat,100,0,0,0,30,85,50,30,0,70,NA,40,NA,85,70,85,30,70,NA,NA,NA,100,70,85,85
NA,White,83,Male,College Degree,Between $50k and $100k,Evangelical Protestant,Every Week,Independent,"Independent, leans Republican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Hispanic,65,Female,No College Degree,Less than $50k,NA,NA,NA,NA,100,15,NA,NA,50,95,70,80,NA,80,90,50,85,70,60,70,50,30,90,80,NA,70,80,90,NA
Working Class,White,55,Male,No College Degree,Less than $50k,Evangelical Protestant,Once or Twice a Month,Democrat,Strong Democrat,50,0,50,60,70,70,60,40,60,70,70,30,60,70,30,50,40,70,70,70,50,50,15,70,60
Working Class,Hispanic,69,Female,College Degree,Less than $50k,Roman Catholic,Once or Twice a Month,Democrat,Strong Democrat,85,0,NA,NA,85,100,30,80,NA,100,60,60,60,70,100,30,100,30,50,100,NA,30,100,100,100
NA,Black,55,Male,College Degree,Between $100k and $250k,Roman Catholic,A Few Times a Year,Independent,"Independent, leans Democrat",50,15,NA,NA,0,60,15,60,60,60,70,60,30,40,85,30,60,70,60,70,40,60,70,85,85
NA,White,31,Male,College Degree,Less than $50k,Undifferentiated Christian,A Few Times a Year,No Preference,"Independent, leans Democrat",60,15,70,60,40,40,30,70,60,50,50,40,40,50,70,40,50,50,50,50,50,60,60,70,50
Middle Class,White,68,Male,College Degree,Less than $50k,Mainline Protestant,Almost Every Week,Independent,"Independent, leans Democrat",30,0,60,50,50,100,50,60,70,30,70,30,50,60,85,15,50,60,100,85,40,85,85,85,70
Middle Class,White,42,Male,College Degree,Between $100k and $250k,Roman Catholic,Once or Twice a Month,Independent,"Independent, leans Republican",15,60,40,85,40,40,70,40,60,70,85,40,60,70,85,40,70,70,85,85,70,70,85,70,40
Working Class,White,82,Female,No College Degree,Between $50k and $100k,Undifferentiated Christian,Every Week,Republican,Strong Republican,0,100,60,40,85,100,70,60,40,50,50,85,70,85,50,50,100,50,100,100,70,70,50,60,30
Middle Class,White,53,Female,No College Degree,Between $100k and $250k,Mainline Protestant,Every Week,Republican,Strong Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Class,White,65,Male,College Degree,Between $50k and $100k,Roman Catholic,NA,Republican,Strong Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Black,42,Female,No College Degree,Less than $50k,Undifferentiated Christian,Once or Twice a Month,Democrat,Weak Democrat,85,0,NA,NA,NA,85,85,50,85,50,85,50,0,50,50,40,50,50,100,50,50,50,50,50,100
Middle Class,Hispanic,48,Male,No College Degree,NA,Not Religious,NA,Democrat,Weak Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Class,White,30,Male,No College Degree,Between $100k and $250k,Undifferentiated Christian,Every Week,Democrat,Strong Democrat,100,30,50,50,50,50,100,50,100,50,50,50,40,50,85,50,85,50,100,50,15,100,50,100,50
Lower Class,Other,23,Female,College Degree,Between $50k and $100k,Evangelical Protestant,Every Week,Independent,"Independent, leans Republican",30,50,40,40,NA,NA,50,40,40,60,50,30,50,40,50,50,50,50,85,50,50,70,50,50,40
NA,White,51,Male,No College Degree,Between $50k and $100k,Undifferentiated Christian,Almost Every Week,Republican,Weak Republican,60,50,30,50,50,70,50,50,60,30,70,40,60,60,50,40,50,50,70,60,50,70,40,70,50
NA,White,31,Female,No College Degree,Between $100k and $250k,Not Religious,NA,Republican,Strong Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Working Class,Hispanic,68,Male,No College Degree,Less than $50k,Roman Catholic,Every Week,Democrat,Strong Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Working Class,White,66,Female,College Degree,Less than $50k,Mainline Protestant,A Few Times a Year,No Preference,"Independent, leans neither",50,70,NA,NA,85,NA,50,40,55,60,60,50,50,60,50,0,40,50,85,50,40,85,50,70,40
Lower Class,White,29,Female,No College Degree,Between $100k and $250k,Undifferentiated Christian,Every Week,Republican,Weak Republican,30,70,85,50,NA,85,85,40,40,70,70,40,85,70,60,60,70,85,100,85,50,100,50,70,40
Working Class,White,36,Female,College Degree,Between $100k and $250k,Not Religious,NA,Democrat,Strong Democrat,100,15,40,40,50,50,30,70,70,60,60,40,30,60,70,40,40,60,50,70,15,60,70,70,40
Working Class,White,47,Female,College Degree,Between $100k and $250k,Undifferentiated Christian,NA,Democrat,Strong Democrat,85,0,NA,50,40,60,30,60,70,50,50,40,15,70,50,30,50,40,50,50,30,60,50,50,40
Middle Class,White,61,Male,No College Degree,Between $50k and $100k,Evangelical Protestant,NA,Independent,"Independent, leans neither",60,40,NA,NA,60,70,85,70,70,60,60,60,70,70,60,60,60,70,85,60,50,85,50,70,60
Middle Class,White,26,Female,College Degree,Less than $50k,Jewish,A Few Times a Year,Democrat,Strong Democrat,95,0,45,95,50,100,35,95,90,50,100,15,40,60,100,65,50,100,50,80,0,95,100,100,95
Middle Class,White,88,Male,No College Degree,NA,Evangelical Protestant,NA,Republican,Strong Republican,0,NA,NA,NA,30,0,0,15,0,0,50,30,30,NA,0,30,60,0,50,100,15,80,0,50,15
NA,Other,83,Female,No College Degree,Less than $50k,Roman Catholic,NA,Democrat,Strong Democrat,0,30,0,0,85,70,50,50,50,50,70,85,50,100,50,40,100,50,50,50,85,55,NA,50,85
Working Class,White,51,Male,College Degree,Between $100k and $250k,Roman Catholic,NA,Independent,"Independent, leans Democrat",30,15,60,50,50,60,40,60,70,50,60,50,60,60,60,40,40,50,60,60,30,50,60,70,50
Working Class,White,36,Male,No College Degree,Between $50k and $100k,Roman Catholic,NA,Republican,Weak Republican,85,0,50,50,50,85,40,85,70,85,85,70,60,70,85,50,70,70,70,85,40,85,85,85,85
Lower Class,White,68,Female,No College Degree,Less than $50k,Undifferentiated Christian,A Few Times a Year,Independent,"Independent, leans Democrat",40,60,NA,85,NA,85,40,100,60,50,70,0,40,50,50,NA,50,60,40,60,50,50,50,50,100
NA,Hispanic,23,Male,No College Degree,Less than $50k,Other Religion,Almost Every Week,Independent,"Independent, leans Democrat",40,40,70,50,50,70,70,30,30,60,60,50,60,70,15,60,50,50,100,50,40,100,15,50,70
NA,White,34,Female,No College Degree,Between $50k and $100k,Undifferentiated Christian,A Few Times a Year,Independent,"Independent, leans Republican",0,40,NA,50,50,70,50,15,50,50,50,50,50,70,50,40,50,15,50,50,50,100,50,50,0
Middle Class,White,58,Female,No College Degree,Between $100k and $250k,Evangelical Protestant,A Few Times a Year,Independent,"Independent, leans Republican",40,70,40,40,50,100,70,60,70,60,70,60,60,60,50,40,60,60,85,85,70,70,50,85,50
Working Class,Other,69,Male,College Degree,Less than $50k,Mainline Protestant,Almost Every Week,Independent,"Independent, leans Republican",15,50,50,50,70,70,40,50,30,30,60,40,60,60,50,30,50,40,85,50,15,60,50,70,30
NA,Hispanic,19,Male,No College Degree,Between $100k and $250k,Not Religious,NA,Independent,"Independent, leans Democrat",50,50,50,50,50,60,50,50,50,50,60,50,50,50,50,50,50,50,60,50,50,50,50,60,50
NA,Hispanic,30,Male,No College Degree,Less than $50k,Other Religion,A Few Times a Year,Democrat,Weak Democrat,60,15,NA,NA,NA,85,60,50,70,85,70,60,50,40,50,40,60,60,60,85,50,40,70,100,70
Lower Class,White,75,Female,No College Degree,Less than $50k,Mainline Protestant,NA,Other,"Independent, leans neither",0,70,NA,15,NA,100,50,100,40,70,100,0,60,70,100,30,50,0,100,85,15,100,50,70,0
NA,White,50,Male,No College Degree,Between $50k and $100k,Undifferentiated Christian,NA,Independent,"Independent, leans Republican",30,100,50,0,60,100,50,85,15,40,85,50,60,40,85,60,60,15,100,85,70,100,50,100,0
NA,Hispanic,54,Male,College Degree,Between $50k and $100k,Roman Catholic,Every Week,Democrat,Strong Democrat,85,15,40,70,50,40,50,85,70,100,100,70,60,85,85,70,85,85,85,85,50,100,70,100,85
NA,White,38,Female,No College Degree,Less than $50k,Mainline Protestant,Every Week,Democrat,Strong Democrat,50,70,NA,NA,50,50,50,50,50,85,100,50,50,50,100,50,30,50,100,50,50,100,100,70,70
NA,White,27,Female,No College Degree,Less than $50k,Evangelical Protestant,NA,Republican,Weak Republican,0,60,60,30,NA,100,50,15,0,40,40,15,50,30,50,40,15,0,50,50,50,60,50,70,40
Lower Class,White,69,Female,No College Degree,Less than $50k,Other Religion,NA,No Preference,"Independent, leans Republican",0,85,NA,NA,50,50,50,40,60,50,40,30,50,40,50,30,50,30,50,50,50,70,50,60,30
NA,Hispanic,43,Female,No College Degree,Between $50k and $100k,Evangelical Protestant,Every Week,Republican,Strong Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Asian/Pacific Islander,33,Female,No College Degree,Between $50k and $100k,Not Religious,NA,Independent,"Independent, leans Republican",15,60,70,40,60,60,40,50,40,50,60,60,40,60,70,40,60,50,50,50,60,85,50,85,50
